"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","RF_distance","nRF_distance","wRF_distance","KF_distance","PD_distance","wPD_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Mixture","cluster10531.cds.aln-cln","TNe+G4","G4",-2088.8996,-1476.7183,"TNe{1,2.6651,1,1,4.2971,1}+G4{0.25,0.25,0.25,0.25}",4281.7993,4296.3428,4493.3574,"One_class",432,26,0.599537037037037,"17.59%",144,20,0.4348,0.4378,0.1097,42.72,1.0566,NA,"0.7596","0.1331","0.1752","0","0.0024","0.0049","0.0155","0.0145","0.1639"
"One_class","cluster10531.cds.aln-cln","TNe+G4","G4",-2088.8983,-1476.7183,"TNe{1,2.6631,1,1,4.297,1}+G4{0.25,0.25,0.25,0.25}",4281.7966,4296.3401,4493.3547,"One_class",432,26,0.599537037037037,"17.59%",144,20,0.4348,0.4378,0.1097,42.9069,1.0566,NA,"0.7596","0.1331","0.1752","0","0.0024","0.0049","0.0155","0.0145","0.1639"
"Mixture","cluster10419.cds.aln-cln","TPM3+G4","G4",-3496.6921,-3396.1708,"TPM3{1.6583,3.5887,1,1.6583,3.5887,1}+G4{0.25,0.25,0.25,0.25}",7097.3842,7105.1915,7338.2483,"Mixture",759,26,0.550724637681159,"22.00%",298,34,0.7391,0.8591,0.2154,61.7171,2.0307,NA,"1.4309","0.4914","0.3434","0","0.0036","0.012","0.0298","0.0235","0.2495"
"One_class","cluster10419.cds.aln-cln","TPM3+G4","G4",-3497.3293,-3396.1708,"TPM3{1.5806,3.5466,1,1.5806,3.5466,1}+G4{0.25,0.25,0.25,0.25}",7098.6586,7106.466,7339.5227,"Mixture",759,26,0.550724637681159,"22.00%",298,34,0.7391,0.8795,0.2203,60.4649,2.2092,NA,"1.462","0.4779","0.3269","0","0.0056","0.0097","0.0292","0.0219","0.2455"
"Mixture","cluster10416.cds.aln-cln","MIX{TN+FO,JC+FO,TNe+FO}+I+R2","I+R2",-8233.3521,-8145.0086,"TN{1.89181,4.82594}+FO{0.0765511,0.0763538,0.781061,0.0660338};JC;TNe{18.3012,30.353}+FQ",16588.7042,16593.4946,16918.291,"Mixture",1641,26,0.596587446678854,"23.83%",598,18,0.3913,0.7592,0.2829,40.2492,2.9164,NA,"1.5676","0.5023","0.3204","0","0.0018","0.0088","0.0263","0.017","0.2522"
"One_class","cluster10416.cds.aln-cln","TN+F+I+R2","I+R2",-8283.7424,-8145.0086,"TN{1,2.727,1,1,6.1683,1}+F{0.2441,0.2111,0.3191,0.2257}",16681.4847,16685.6616,16989.4592,"Mixture",1641,26,0.596587446678854,"23.83%",598,18,0.3913,0.5749,0.1881,37.855,1.6571,NA,"1.2879","0.4044","0.314","0","0.0011","0.0097","0.032","0.02","0.3316"
"Mixture","cluster10546.cds.aln-cln","MIX{TNe,JC+FO}+G","G4",-2385.2131,-2035.8152,"TNe{7.49506,18.5235}+FQ;JC",4876.4263,4887.9203,5105.0443,"Mixture",552,26,0.692028985507246,"19.75%",169,24,0.5217,0.5912,0.1523,42.6615,1.157,NA,"0.7084","0.2022","0.2854","0","0.0019","0.0075","0.0144","0.0152","0.142"
"One_class","cluster10546.cds.aln-cln","TIM3e+G4","G4",-2388.7051,-2035.8152,"TIM3e{0.5453,2.4471,1,0.5453,5.1267,1}+G4{0.25,0.25,0.25,0.25}",4883.4102,4894.9042,5112.0282,"Mixture",552,26,0.692028985507246,"19.75%",169,24,0.5217,0.5928,0.1558,37.7359,1.1682,NA,"0.7056","0.2032","0.288","0","0.0018","0.0074","0.0145","0.0136","0.1503"
"Mixture","cluster10547.cds.aln-cln","K2P+G4","G4",-3299.2145,-2946.4847,"K2P{1,3.2754,1,1,3.2754,1}+G4{0.25,0.25,0.25,0.25}",6700.4291,6709.196,6929.301,"One_class",657,26,0.573820395738204,"23.29%",277,24,0.5217,0.3849,0.099,55.3173,0.4741,NA,"0.9063","0.275","0.3034","0","0.0015","0.0062","0.0185","0.0174","0.1997"
"One_class","cluster10547.cds.aln-cln","K2P+G4","G4",-3299.2142,-2946.4847,"K2P{1,3.2754,1,1,3.2754,1}+G4{0.25,0.25,0.25,0.25}",6700.4284,6709.1953,6929.3003,"One_class",657,26,0.573820395738204,"23.29%",277,24,0.5217,0.385,0.099,50.951,0.4742,NA,"0.9063","0.275","0.3034","0","0.0015","0.0062","0.0185","0.0174","0.1997"
"Mixture","cluster10541.cds.aln-cln","MIX{HKY+FO,TNe+FO,JC+FO}+G","G4",-4077.0703,-3248.6399,"HKY{4.49268}+FO{0.130434,0.0812703,0.509705,0.278591};TNe{13.8458,25.4354}+FQ;JC",8270.1405,8278.4262,8547.7046,"Mixture",885,26,0.668926553672316,"19.89%",263,30,0.6522,0.5227,0.1456,44.317,0.7725,NA,"0.7724","0.2347","0.3039","0","0.0011","0.0082","0.0151","0.0165","0.1134"
"One_class","cluster10541.cds.aln-cln","K2P+G4","G4",-4104.3731,-3248.6399,"K2P{1,5.6045,1,1,5.6045,1}+G4{0.25,0.25,0.25,0.25}",8310.7463,8317.1136,8554.8112,"Mixture",885,26,0.668926553672316,"19.89%",263,30,0.6522,0.5338,0.155,44.317,0.8989,NA,"0.7377","0.2227","0.3019","0","0.0011","0.0084","0.0158","0.017","0.1242"
"Mixture","cluster10560.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-2367.6992,-1719.259,"K2P{18.7234}+FQ;JC",4839.3985,4852.6804,5055.1188,"Mixture",468,26,0.658119658119658,"19.44%",154,14,0.3043,0.5365,0.1843,24.7386,1.1184,NA,"1.0242","0.1721","0.168","0","0.0023","0.0094","0.02","0.0187","0.1864"
"One_class","cluster10560.cds.aln-cln","K2P+G4","G4",-2378.7078,-1719.259,"K2P{1,3.097,1,1,3.097,1}+G4{0.25,0.25,0.25,0.25}",4859.4155,4872.1655,5070.9874,"Mixture",468,26,0.658119658119658,"19.44%",154,20,0.4348,0.5626,0.1772,28.4429,1.1497,NA,"0.9776","0.1675","0.1713","0","0.0024","0.0094","0.0209","0.0193","0.2029"
"Mixture","cluster10524.cds.aln-cln","MIX{TIM+FO,JC+FO,K80+FO}+G","G4",-4826.3342,-3658.4945,"TIM{0.863225,0.207444,3.91922}+FO{0.143262,0.14995,0.533153,0.173634};JC;K2P{21.5833}+FQ",9770.6684,9778.8063,10055.9443,"Mixture",930,26,0.63010752688172,"26.02%",300,24,0.5217,0.4021,0.1019,38.7298,0.4273,NA,"1.0666","0.3228","0.3026","0","0.0025","0.0109","0.0205","0.0142","0.1938"
"One_class","cluster10524.cds.aln-cln","TIM+F+G4","G4",-4847.5714,-3658.4945,"TIM{1,1.9077,0.5789,0.5789,3.3964,1}+F{0.2195,0.2293,0.321,0.2303}",9807.1428,9814.4555,10077.9131,"Mixture",930,26,0.63010752688172,"26.02%",300,32,0.6957,0.3873,0.093,40.1995,0.3389,NA,"1.0046","0.3062","0.3048","0","0.0027","0.0105","0.0218","0.0139","0.2204"
"Mixture","cluster10538.cds.aln-cln","MIX{TN+FO,JC+FO,K80+FO}+I+G","I+G4",-3625.2528,-2644.0877,"TN{4.41936,9.43877}+FO{0.0861999,0.404884,0.440229,0.0686863};JC;K2P{108.621}+FQ",7368.5055,7381.1937,7629.6683,"Mixture",618,26,0.563106796116505,"27.18%",288,26,0.5652,0.7661,0.2755,47.2546,1.4857,NA,"1.589","0.3617","0.2276","0","0.0032","0.01","0.0274","0.0271","0.3118"
"One_class","cluster10538.cds.aln-cln","TN+F+G4","G4",-3651.1564,-2644.0877,"TN{1,1.999,1,1,3.2455,1}+F{0.2002,0.308,0.315,0.1768}",7412.3129,7423.2737,7655.7697,"Mixture",618,26,0.563106796116505,"27.18%",288,26,0.5652,0.409,0.1163,58.1808,0.7093,NA,"1.3428","0.279","0.2078","0","0.0028","0.0105","0.0324","0.0282","0.4394"
"Mixture","cluster10482.cds.aln-cln","MIX{TN+FO,JC+FO}+G","G4",-13098.2855,-10517.3256,"TN{9.84857,18.1522}+FO{0.230942,0.206601,0.283768,0.278689};JC",26308.571,26311.0628,26637.3217,"Mixture",2619,26,0.65253913707522,"22.41%",714,24,0.5217,0.204,0.0516,54.074,0.4707,NA,"0.9635","0.2372","0.2462","0","8e-04","0.0101","0.0188","0.018","0.1959"
"One_class","cluster10482.cds.aln-cln","TN+F+G4","G4",-13147.1188,-10517.3256,"TN{1,3.4642,1,1,5.2148,1}+F{0.2433,0.2177,0.2708,0.2682}",26404.2377,26406.6411,26727.1178,"Mixture",2619,26,0.65253913707522,"22.41%",714,24,0.5217,0.232,0.062,54.074,0.594,NA,"0.9188","0.2269","0.247","0","8e-04","0.0102","0.0197","0.0182","0.2169"
"Mixture","cluster10340.cds.aln-cln","MIX{TIM3+FO,K80+FO,TIMe+FO,TNe+FO,JC+FO}+G","G4",-6672.9613,-5126.8594,"TIM3{2.82393,5.54156,4.45432}+FO{0.0673946,0.216318,0.572989,0.143299};K2P{13.3216}+FQ;TIMe{0.376171,0.0001,0.277447}+FQ;TNe{0.0001,9.40994}+FQ;JC",13477.9227,13484.5673,13823.9474,"Mixture",1398,26,0.623032904148784,"22.82%",380,22,0.4783,0.4621,0.1107,36.4005,0.5795,NA,"0.8386","0.2016","0.2404","0","7e-04","0.005","0.0166","0.0162","0.1584"
"One_class","cluster10340.cds.aln-cln","TIM3+F+G4","G4",-6722.2951,-5126.8594,"TIM3{1.6239,2.9465,1,1.6239,6.0079,1}+F{0.2139,0.25,0.3298,0.2064}",13556.5901,13561.3508,13850.1868,"Mixture",1398,26,0.623032904148784,"22.82%",380,24,0.5217,0.4642,0.1141,52.4976,0.62,NA,"0.8112","0.1976","0.2436","0","7e-04","0.0049","0.0171","0.0158","0.1717"
"Mixture","cluster10407.cds.aln-cln","MIX{TN+FO,K80+FO,JC+FO}+I+G","I+G4",-10564.3095,-8609.8756,"TN{0.915903,16.5176}+FO{0.228662,0.0759328,0.554999,0.140407};K2P{21.6208}+FQ;JC",21246.6191,21250.2166,21577.8926,"Mixture",2028,26,0.637080867850099,"26.73%",628,26,0.5652,0.5805,0.187,45.5192,1.9221,NA,"1.1651","0.4471","0.3837","0","0.0019","0.0086","0.0221","0.0193","0.1909"
"One_class","cluster10407.cds.aln-cln","TN+F+I+G4","I+G4",-10616.7497,-8609.8756,"TN{1,3.1959,1,1,5.444,1}+F{0.2526,0.223,0.2922,0.2322}",21345.4993,21348.7383,21659.9284,"Mixture",2028,26,0.637080867850099,"26.73%",628,26,0.5652,0.585,0.1696,43.9659,1.6246,NA,"1.0826","0.4076","0.3765","0","0.0018","0.0086","0.0238","0.0193","0.22"
"Mixture","cluster10459.cds.aln-cln","MIX{TIM2+FO,HKY+FO,JC+FO}+I+R2","I+R2",-8745.0886,-6642.3732,"TIM2{0.0001,2.51,2.38193}+FO{0.396173,0.31908,0.0347676,0.249979};HKY{4.02251}+FO{0.106354,0.192139,0.50919,0.192317};JC",17618.1771,17624.1887,17956.0094,"Mixture",1449,26,0.555555555555556,"31.12%",582,26,0.5652,0.6461,0.2456,41.5812,2.6276,NA,"1.6391","0.5658","0.3452","0","0.0026","0.0123","0.0284","0.0231","0.2173"
"One_class","cluster10459.cds.aln-cln","TIM2+F+I+R2","I+R2",-8820.8332,-6642.3732,"TIM2{0.5671,2.0508,0.5671,1,3.6827,1}+F{0.2181,0.2417,0.3075,0.2327}",17757.6665,17762.5902,18063.8269,"Mixture",1449,26,0.555555555555556,"31.12%",582,24,0.5217,0.432,0.1579,37.47,1.5729,NA,"1.3927","0.4683","0.3363","0","0.0021","0.0132","0.0335","0.0264","0.2676"
"Mixture","cluster10443.cds.aln-cln","MIX{TPM2u+FO,TNe+FO,F81+FO,TIM+FO,F81+FO}+I+R2","I+R2",-3960.8014,-3114.9441,"TPM2u{27.7182,40.2116}+FO{0.0553771,0.663166,0.190656,0.090801};TNe{27.6169,5.10521}+FQ;F81+FO{0.689498,0.11687,0.0460405,0.147591};TIM{99.9978,0.0001,56.3573}+FO{0.027226,0.110948,0.493511,0.368314};F81+FO{0.0344801,0.262045,0.497832,0.205643}",8071.6028,8088.9808,8416.2863,"One_class",732,26,0.60655737704918,"25.00%",268,34,0.7391,1.0128,0.2799,60.8276,2.6423,NA,"1.366","0.3206","0.2347","0","0.0034","0.0111","0.0269","0.0206","0.3649"
"One_class","cluster10443.cds.aln-cln","TN+F+I+R2","I+R2",-4017.6132,-3114.9441,"TN{1,2.3023,1,1,3.5137,1}+F{0.1782,0.2826,0.3035,0.2357}",8149.2264,8159.0365,8411.1859,"One_class",732,26,0.60655737704918,"25.00%",268,34,0.7391,0.9683,0.2641,60.8276,2.5066,NA,"1.3174","0.3122","0.237","0","0.0034","0.0113","0.0279","0.0206","0.3826"
"Mixture","cluster10656.cds.aln-cln","MIX{TIM3+FO,JC+FO}+I+R2","I+R2",-8560.7077,-6449.7542,"TIM3{2.3554,10.5337,25.5736}+FO{0.246486,0.17978,0.322464,0.25127};JC",17239.4154,17244.6715,17549.1191,"Mixture",1407,26,0.535181236673774,"28.36%",553,28,0.6087,0.5086,0.226,39.7115,1.049,NA,"1.4827","0.2785","0.1878","0","0.0014","0.0134","0.0286","0.0229","0.3946"
"One_class","cluster10656.cds.aln-cln","TIM3+F+I+R2","I+R2",-8595.4811,-6449.7542,"TIM3{1.4816,2.8852,1,1.4816,5.6436,1}+F{0.2524,0.2008,0.299,0.2478}",17306.9623,17312.0394,17611.4167,"Mixture",1407,26,0.535181236673774,"28.36%",553,28,0.6087,0.4217,0.1802,37.9605,0.8304,NA,"1.4022","0.2737","0.1952","0","0.0014","0.0135","0.0303","0.0226","0.4377"
"Mixture","cluster10529.cds.aln-cln","MIX{TN+FO,TPM2u+FO}+I+R2","I+R2",-7494.6751,-6648.7172,"TN{2.16698,2.99408}+FO{0.251406,0.109062,0.517158,0.122375};TPM2u{0.164338,1.20889}+FO{0.259254,0.338173,0.0593222,0.34325}",15115.3501,15121.52,15444.4178,"Mixture",1371,26,0.557986870897155,"25.53%",591,28,0.6087,0.4285,0.1366,42.9884,1.0062,NA,"1.3501","0.2641","0.1956","0","8e-04","0.0096","0.0279","0.028","0.2973"
"One_class","cluster10529.cds.aln-cln","TN+F+G4","G4",-7527.8871,-6648.7172,"TN{1,3.3174,1,1,5.0804,1}+F{0.2604,0.2156,0.2983,0.2256}",15165.7743,15170.4587,15453.0555,"Mixture",1371,26,0.557986870897155,"25.53%",591,24,0.5217,0.4428,0.1422,40.7431,1.0541,NA,"1.3684","0.2669","0.195","0","0.0012","0.0106","0.0276","0.0257","0.293"
"Mixture","cluster10645.cds.aln-cln","MIX{TN+FO,JC+FO}+G","G4",-10201.0536,-8796.0121,"TN{5.98662,14.8815}+FO{0.259858,0.202478,0.2858,0.251864};JC",20514.1071,20517.3119,20829.1131,"Mixture",2049,26,0.609077598828697,"21.38%",612,30,0.6522,0.4433,0.1367,40.8901,0.8575,NA,"0.9456","0.1778","0.188","0","0.002","0.009","0.019","0.0159","0.1867"
"One_class","cluster10645.cds.aln-cln","TNe+G4","G4",-10232.5461,-8796.0121,"TNe{1,3.4851,1,1,6.0571,1}+G4{0.25,0.25,0.25,0.25}",20569.0922,20571.8537,20861.5978,"Mixture",2049,26,0.609077598828697,"21.38%",612,30,0.6522,0.4444,0.1335,39.6611,0.8683,NA,"0.9317","0.1776","0.1906","0","0.0019","0.0089","0.0193","0.0157","0.1943"
"Mixture","cluster10168.cds.aln-cln","MIX{TN+FO,HKY+FO,JC+FO,TN+FO}+G","G4",-7848.0059,-5989.9521,"TN{1.60613,100}+FO{0.201736,0.197418,0.579475,0.0213705};HKY{24.3165}+FO{0.439027,0.290233,0.0225648,0.248175};JC;TN{85.6128,2.74715}+FO{0.0224798,0.215701,0.298516,0.463304}",15830.0118,15836.9096,16180.8466,"Mixture",1389,26,0.546436285097192,"28.29%",527,28,0.6087,0.7742,0.231,46.4327,3.4993,NA,"1.6972","0.6227","0.3669","0","0.0016","0.0097","0.0253","0.0198","0.1715"
"One_class","cluster10168.cds.aln-cln","TN+F+G4","G4",-7908.7086,-5989.9521,"TN{1,1.977,1,1,4.3561,1}+F{0.2266,0.2228,0.3143,0.2363}",15927.4172,15932.0383,16215.4158,"Mixture",1389,26,0.546436285097192,"28.29%",527,26,0.5652,0.4599,0.1226,47.1275,1.4733,NA,"1.2416","0.4217","0.3396","0","0.0019","0.0113","0.0346","0.0207","0.2519"
"Mixture","cluster10681.cds.aln-cln","TIM3e+G4","G4",-3000.1346,-2083.4459,"TIM3e{1.6873,2.9484,1,1.6873,4.7343,1}+G4{0.25,0.25,0.25,0.25}",6106.2692,6118.1202,6333.4271,"One_class",537,26,0.549348230912477,"24.02%",210,32,0.6957,0.3108,0.0654,52.9623,0.3856,NA,"1.0755","0.2199","0.2045","0","0.0019","0.0098","0.022","0.0199","0.248"
"One_class","cluster10681.cds.aln-cln","TIM3e+G4","G4",-3000.1332,-2083.4459,"TIM3e{1.7048,2.9764,1,1.7048,4.7731,1}+G4{0.25,0.25,0.25,0.25}",6106.2664,6118.1174,6333.4243,"One_class",537,26,0.549348230912477,"24.02%",210,32,0.6957,0.3109,0.0655,49.2037,0.3854,NA,"1.0758","0.2199","0.2044","0","0.0019","0.0098","0.0219","0.0199","0.2478"
"Mixture","cluster10640.cds.aln-cln","MIX{TN+FO,JC+FO,HKY+FO}+G","G4",-9245.0643,-8327.4196,"TN{12.5504,24.1662}+FO{0.147202,0.220584,0.368839,0.263375};JC;HKY{3.84468}+FO{0.573755,0.135494,0.0956243,0.195127}",18612.1286,18615.8565,18956.4978,"Mixture",2091,26,0.645145863223338,"18.03%",505,26,0.5652,0.8799,0.4056,50.951,1.8573,NA,"1.0823","0.1309","0.1209","0","6e-04","0.0058","0.0192","0.0106","0.3599"
"One_class","cluster10640.cds.aln-cln","TN+F+G4","G4",-9285.4882,-8327.4196,"TN{1,3.5013,1,1,8.1409,1}+F{0.265,0.2084,0.2831,0.2435}",18680.9764,18684.0035,18991.4733,"Mixture",2091,26,0.645145863223338,"18.03%",505,26,0.5652,0.8035,0.3129,48.4149,1.4937,NA,"0.9431","0.128","0.1357","0","7e-04","0.0062","0.0221","0.0106","0.4657"
"Mixture","cluster10665.cds.aln-cln","MIX{TN+FO,JC+FO}+I+G","I+G4",-10178.9475,-7705.554,"TN{5.03588,16.1522}+FO{0.254393,0.178894,0.395699,0.171014};JC",20471.895,20475.6841,20785.2358,"Mixture",1803,26,0.562950637825846,"26.68%",620,24,0.5217,0.2329,0.0573,51.3128,0.3577,NA,"1.1313","0.2217","0.196","0","0.0011","0.0116","0.0224","0.0236","0.2442"
"One_class","cluster10665.cds.aln-cln","TN+F+I+G4","I+G4",-10202.5895,-7705.554,"TN{1,2.3865,1,1,5.2846,1}+F{0.2612,0.2029,0.3461,0.1897}",20517.179,20520.8353,20825.0226,"Mixture",1803,26,0.562950637825846,"26.68%",620,24,0.5217,0.222,0.0504,51.3128,0.2787,NA,"1.0966","0.2142","0.1953","0","0.0011","0.0116","0.0231","0.0238","0.2587"
"Mixture","cluster10684.cds.aln-cln","MIX{TN+FO,TNe+FO,JC+FO}+I","I",-5671.346,-4612.0296,"TN{3.72229,2.13073}+FO{0.0452333,0.112837,0.754913,0.0870167};TNe{18.417,29.095}+FQ;JC",11460.6919,11467.5325,11755.604,"Mixture",1095,26,0.608219178082192,"23.38%",375,28,0.6087,0.4288,0.1042,34,0.487,NA,"1.0384","0.2348","0.2261","0","0.002","0.0096","0.0196","0.0192","0.1581"
"One_class","cluster10684.cds.aln-cln","TNe+I","I",-5723.6402,-4612.0296,"TNe{1,3.2451,1,1,4.6485,1}+I{0.25,0.25,0.25,0.25}",11551.2803,11556.5702,11811.2028,"Mixture",1095,26,0.608219178082192,"23.38%",375,28,0.6087,0.4222,0.106,34,0.5672,NA,"0.9621","0.2172","0.2258","0","0.0022","0.0096","0.0212","0.0196","0.1775"
"Mixture","cluster10676.cds.aln-cln","MIX{TN+FO,JC+FO}+I+R2","I+R2",-9967.0079,-7500.0029,"TN{5.05125,12.8849}+FO{0.254408,0.185836,0.315134,0.244623};JC",20050.0158,20053.6875,20372.591,"Mixture",1923,26,0.614144565782631,"23.19%",557,18,0.3913,0.3036,0.0799,34.7563,0.5958,NA,"0.9485","0.1944","0.205","0","0.0028","0.0104","0.0191","0.0166","0.1708"
"One_class","cluster10676.cds.aln-cln","TN+F+I+R2","I+R2",-9979.2856,-7500.0029,"TN{1,3.5134,1,1,7.0503,1}+F{0.2491,0.2126,0.2988,0.2396}",20072.5712,20076.1165,20389.5848,"Mixture",1923,26,0.614144565782631,"23.19%",557,18,0.3913,0.3065,0.083,34.7563,0.6375,NA,"0.9355","0.1924","0.2057","0","0.0028","0.0104","0.0194","0.0167","0.1762"
"Mixture","cluster10685.cds.aln-cln","MIX{TNe,JC+FO}+G","G4",-3064.6507,-2597.1261,"TNe{10.3951,25.2367}+FQ;JC",6235.3014,6244.094,6476.8859,"Mixture",705,26,0.659574468085106,"14.61%",200,28,0.6087,0.6501,0.1939,37.3631,1.2647,NA,"0.8383","0.1403","0.1674","0","0.0015","0.0051","0.0162","0.0122","0.2092"
"One_class","cluster10685.cds.aln-cln","TNe+G4","G4",-3072.6261,-2597.1261,"TNe{1,2.4421,1,1,4.1011,1}+G4{0.25,0.25,0.25,0.25}",6249.2522,6257.7062,6486.2785,"Mixture",705,26,0.659574468085106,"14.61%",200,26,0.5652,0.6448,0.1806,38.9872,1.2862,NA,"0.7931","0.1333","0.1681","0","0.0015","0.005","0.0171","0.0125","0.234"
"Mixture","cluster10696.cds.aln-cln","MIX{TN+FO,JC+FO}+G","G4",-4666.8418,-3602.1901,"TN{28.7008,99.814}+FO{0.29257,0.178673,0.271006,0.25775};JC",9445.6836,9451.1965,9731.4236,"Mixture",1215,26,0.74156378600823,"14.65%",245,24,0.5217,0.5734,0.1621,35.9583,1.584,NA,"0.5625","0.1181","0.21","0","9e-04","0.0069","0.0113","0.0105","0.1085"
"One_class","cluster10696.cds.aln-cln","TNe+G4","G4",-4699.7221,-3602.1901,"TNe{1,3.7098,1,1,6.4839,1}+G4{0.25,0.25,0.25,0.25}",9503.4441,9508.1877,9768.7741,"Mixture",1215,26,0.74156378600823,"14.65%",245,22,0.4783,0.581,0.1676,33,1.6162,NA,"0.556","0.1181","0.2124","0","8e-04","0.0067","0.0115","0.0099","0.1158"
"Mixture","cluster10092.cds.aln-cln","MIX{TN+FO,JC+FO,HKY+FO,K80+FO}+I+R3","I+R3",-16917.7933,-13631.4241,"TN{5.41989,15.3805}+FO{0.13994,0.216225,0.471873,0.171963};JC;HKY{75.7245}+FO{0.592481,0.356699,0.0104288,0.0403912};K2P{30.7203}+FQ",33969.5866,33973.1711,34362.6826,"Mixture",2610,26,0.486206896551724,"37.51%",1056,16,0.3478,1.1781,0.4734,36.4417,6.4051,NA,"2.2349","0.9711","0.4345","0","0.0029","0.0149","0.038","0.0253","0.3419"
"One_class","cluster10092.cds.aln-cln","TN+F+I+R3","I+R3",-17043.5775,-13631.4241,"TN{1,2.4811,1,1,4.8152,1}+F{0.2681,0.2594,0.2792,0.1933}",34205.1549,34207.9314,34551.3142,"Mixture",2610,26,0.486206896551724,"37.51%",1056,16,0.3478,0.8406,0.3253,36.4417,4.5229,NA,"1.8635","0.7826","0.42","0","0.0027","0.015","0.0456","0.0267","0.4403"
"Mixture","cluster10705.cds.aln-cln","MIX{TN+FO,JC+FO}+G","G4",-7609.3436,-6676.0458,"TN{4.60714,13.7002}+FO{0.293903,0.192125,0.312902,0.20107};JC",15330.6873,15335.3952,15624.8816,"Mixture",1413,26,0.546355272469922,"23.14%",545,22,0.4783,0.331,0.0904,41.0366,0.5272,NA,"1.0828","0.2186","0.2019","0","0.0021","0.0103","0.0216","0.0188","0.2625"
"One_class","cluster10705.cds.aln-cln","TN+F+G4","G4",-7623.7606,-6676.0458,"TN{1,2.3135,1,1,5.0036,1}+F{0.2779,0.2072,0.3033,0.2116}",15357.5212,15362.0606,15646.462,"Mixture",1413,26,0.546355272469922,"23.14%",545,22,0.4783,0.3207,0.084,40.1123,0.5487,NA,"1.0563","0.2161","0.2046","0","0.0021","0.0105","0.0221","0.019","0.2775"
"Mixture","cluster10413.cds.aln-cln","MIX{TN+FO,JC+FO,F81+FO,HKY+FO,F81+FO}+I+R2","I+R2",-11689.5617,-8288.7436,"TN{85.88,100}+FO{0.502665,0.379187,0.0247069,0.0934405};JC;F81+FO{0.0291802,0.780834,0.156935,0.0330503};HKY{9.73948}+FO{0.111997,0.212708,0.412929,0.262365};F81+FO{0.925845,0.0268707,0.000100002,0.0471847}",23521.1233,23526.8033,23914.0915,"Mixture",1872,26,0.538461538461538,"27.72%",718,22,0.4783,0.8644,0.2728,35.5528,2.1268,NA,"1.9232","0.4093","0.2128","0","0.0038","0.0169","0.0312","0.0344","0.2931"
"One_class","cluster10413.cds.aln-cln","TN+F+I+R2","I+R2",-11808.1223,-8288.7436,"TN{1,2.2171,1,1,4.2345,1}+F{0.2392,0.241,0.29,0.2298}",23730.2445,23733.8895,24045.726,"Mixture",1872,26,0.538461538461538,"27.72%",718,24,0.5217,0.49,0.1215,37.6431,0.938,NA,"1.5271","0.3329","0.218","0","0.0032","0.0181","0.0392","0.0381","0.429"
"Mixture","cluster10720.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-3823.4593,-2829.8777,"K2P{13.6806}+FQ;JC",7750.9186,7758.5635,7992.8003,"Mixture",774,26,0.640826873385013,"18.86%",246,32,0.6957,0.5254,0.1403,47.8853,1.1733,NA,"0.8295","0.1375","0.1658","0","0.0013","0.0079","0.0166","0.0159","0.1332"
"One_class","cluster10720.cds.aln-cln","K2P+G4","G4",-3837.4489,-2829.8777,"K2P{1,3.277,1,1,3.277,1}+G4{0.25,0.25,0.25,0.25}",7776.8978,7784.2441,8014.128,"Mixture",774,26,0.640826873385013,"18.86%",246,28,0.6087,0.5345,0.1427,42.9069,1.2417,NA,"0.8124","0.1375","0.1693","0","0.0013","0.0091","0.0169","0.0172","0.1384"
"Mixture","cluster10711.cds.aln-cln","MIX{TN+FO,K80+FO}+G","G4",-6521.4432,-5166.1762,"TN{0.730475,1.66294}+FO{0.220993,0.237481,0.354125,0.187401};K2P{10.7075}+FQ",13156.8865,13162.6916,13446.8782,"Mixture",1197,26,0.578947368421053,"25.15%",442,30,0.6522,0.3454,0.0934,48.2908,0.5364,NA,"1.073","0.2709","0.2525","0","0.0016","0.0102","0.0215","0.0186","0.1628"
"One_class","cluster10711.cds.aln-cln","TN+F+G4","G4",-6539.4884,-5166.1762,"TN{1,2.2869,1,1,4.0438,1}+F{0.2386,0.224,0.3154,0.222}",13188.9769,13194.3756,13468.7934,"Mixture",1197,26,0.578947368421053,"25.15%",442,30,0.6522,0.338,0.0939,44.1475,0.4865,NA,"1.053","0.2611","0.248","0","0.0017","0.0103","0.0219","0.0173","0.1718"
"Mixture","cluster10724.cds.aln-cln","K2P+G4","G4",-2972.1628,-2218.4996,"K2P{1,2.8022,1,1,2.8022,1}+G4{0.25,0.25,0.25,0.25}",6046.3257,6056.9977,6266.0387,"One_class",549,26,0.5591985428051,"23.68%",234,30,0.6522,0.46,0.1036,36.2215,1.0537,NA,"1.2461","0.4141","0.3323","0","0.0047","0.0139","0.0254","0.0273","0.1758"
